title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
≥75℃,"More than or Equal to 75 Degrees Celsius, Większa lub równa 75 stopni Celsjusza, 여성퀴어 웹드라마 '크거나같거나 75도씨","Tea master Hong won the Winter Course Competition held at the Altdif headquarters. The head of the marketing team, Cha, who came to collaborate, was in disagreement. Will they be able to complete the perfect winter tea?

(Source: Instagram)      Edit Translation         English     Українська     Deutsch     magyar / magyar nyelv",_,South Korea,"Food, Business, Romance, Life",6.9,1335,10/12/2019,"Web Series, LGBTQ+, Short Length Series, Miniseries, Advertisement, Lesbian Female Lead, Café Setting, Lesbian Romance, Friendship, Fluffy","Shin Hyun Jin, Lee Yu Ri, Park Ji An, Lee Yoo Ha",_,_,_,_,_
100 Days My Prince,"100 Days of Husband, 100 de Zile cu Prințul, Baekilui Nanggoonnim, Baekilui Nanggunnim, Dear Husband of 100 Days, Hundred Days' Husband, Husband for 100 Days, Meu Príncipe Por 100 Dias, Mi Príncipe por 100 Días, Můj princ na 100 dní, Муж на сто дней, أميري لمئة يوم, รัก 100 วันของฉันและองค์ชาย, 百日的郎君","Yi Yul, Crown Prince of Joseon, is a perfectionist who disregards most royal palace nobles. His cold and demanding demeanor masks deeply rooted loneliness. He comes to pass a law stating that Korean citizens of marriageable age must wed before the age of 28.

Hong Sim is a strong, intelligent woman who supports herself and her father. After an attempt on his life, Crown Prince Yi Yul is severely injured and finds  himself under the care of the Hong household. He’s experiencing temporary amnesia, and now unaware of his identity, he is free to wander at will as a commoner.

Due to the law, he himself passed, Hong Sim, now the oldest unmarried woman in her village, must marry or face punishment from officials. Yi Yul proposes to Hong Sim that they ought to marry.

Can their budding romance withstand Yi Yul’s eventual recovery with his memory fully intact?

(Source: AJ and Lee C at MyDramaList)    Edit Translation         English     한국어     日本語     ภาษาไทย",tvN,South Korea,"Historical, Comedy, Romance, Drama",8.3,36342,10/09/2018,"Amnesia, Hidden Identity, Joseon Dynasty, Marriage of Convenience, Fake Marriage, Eccentric Male Lead, Hardworking Female Lead, Double Identity, Riches to Rags, Conspiracy","Doh Kyung Soo, Nam Ji Hyun, Kim Seon Ho, Han So Hee, Cho Seong Ha, Kim Jae Yeong",No Ji-sul,"Lee Jong-jae, Nam Sung-woo",16 + 2 special,2018,_
100% Era,"baekpro era, 백프로시대, 백프로시대 : 접촉을 회피한 일류들","100% Era imagines the post-corona future. How the lives of kids born during the pandemic will look like? What will humanity and teens look like in 2044? Our teenagers living in a more competitive world, where the world no longer needs human hands. For humans, the competition to rise to the top is intensifying. How to secretly love children in the era when schools disappeared and contactless.

Hee Jae and Shi Dae  attend the same top rank education academy. It focuses on training kids to score 100% on tests, while kids who score below 90% get expelled. In such an environment, Shi Dae and Hee Jae spend their teenage years and grow together.    Edit Translation         English     magyar / magyar nyelv     עברית / עִבְרִית     dansk",_,South Korea,"Romance, Youth",7.3,1237,07/01/2021,"COVID-19, Rivalry, Miniseries, High School, Web Series, Love/Hate Relationship, Mother-Daughter Relationship, Selfish Parent, Student Female Lead, Student Male Lead","Kim Sung Hyun, Lee Soo Min, Yeo Ji Min, Logan, Lee Seung Yeon, Pyun Kang Yoon",_,_,_,_,_
109 Strange Things,"109 Byeolil Da Issne, 109 Coisas Estranhas, 109 Unusual Things Have Happened, Here Comes Robo KDI-109!","When a robot comes from the future, will a philosophy major understand the significance of it?

KDI-109, a robot from the future. He ends up living in the home of Sin Gi Won, a fourth-year college student who is studying philosophy. As Gi Won wrestles with life’s big questions and finding gainful employment after college, can KDI-109 help her find the answers?

(Source: IMDb)      Edit Translation         English     हिन्दी     magyar / magyar nyelv     dansk",Naver TV Cast,South Korea,"Romance, Youth, Sci-Fi",6.6,1288,01/02/2017,"Short Length Series, Web Series, Student Female Lead, School Setting, Young Adult Female Lead, University, Miniseries, Android, Interspecies Romance, Artificial Intelligence","Choi  Tae Joon, Jung Chae Yeon, Kim  Tae Yoon, Cho Yi Hyun, Lee Hyung Suk, Kim Yong Jin",_,_,_,_,_
12 Signs of Love,_,"12 Signs of Love (Korean: 일년에 열두남자; Hanja: 一年에 열두男子; RR: Illyeone Yeoldunamja; lit. Twelve Men in a Year) is a 2012 South Korean television series starring Yoon Jin-seo and On Joo-wan. It aired on tvN from February 15 to April 5, 2012, on Wednesdays and Thursdays at 23:00 (KST) for 16 episodes.",tvN,_,Romantic comedy,_,_,"February 15 –
April 5, 2012",_,"Yoon Jin-seo, On Joo-wan",Hwang Jo-yoon,Oh Jong-rok,16,2012,_
12 Years Promise,"Jang Gook Becomes Dal-rae: Reunion in 12 Years, Wild Chives and Tofu Soup, Wild Chive Soybean Paste Soup, Soothed Clear Soup","In 2002, on the night of Korea's momentous World Cup win, high school sweethearts Jang Guk (Lee So-yeon) and Yu Jun-su (Namkoong Min) sleep together and Jang Guk ends up pregnant. They are given permission to marry by Jun-su's father, but after a horrible accident, Jang Guk loses the baby. Their mothers who were against the relationship from the beginning, take advantage of the situation and split them up. Jang Guk then leaves Korea to live in the U.S. and changes her name to Jang Dal-lae. Twelve years later, they reunite and get entangled in each other's lives again. The only problem is that Yu Jun-su doesn't know it's her and Jang Guk doesn't want him to know.","JTBC
OBS TV (2018)",_,"Romantic comedy, Family",_,_,"March 22 –
June 29, 2014",_,"Lee So-yeon, Namkoong Min, Lee Tae-im, Yoon So-hee, Lee Won-keun, Ryu Hyo-young",Kim Yi-kyung,"Kim Do-hyung, Yoon Jae-won",26,2014,_
18 Again,"Eighteen Again, Eitin Eogein, 에이틴 어게인","Jung Da Jeong and Hong Dae Yeong have been married for almost two decades, raising their twins together. Despite appearances, their life is far from ideal, filled with Dae Yeong's incessant nonsense. When he gets fired, and Da Jeong can't take it anymore, she files for divorce. This drastic step forces Dae Yeong to reflect on his life and all his regrets. Suddenly, he transforms into an eighteen-year-old with the same middle-aged  mind. Renaming himself Ko U Yeong, he enrolls in his children's school, gaining a new perspective on life.

(Source: MyDramaList)

~~ Remake of the American film “17 Again"" [2009].    Edit Translation         English     한국어     中文(简体)     ภาษาไทย",jTBC,South Korea,"Romance, Life, Drama, Fantasy",8.6,46458,21/09/2020,"First Love, Father-Son Relationship, Father-Daughter Relationship, Hardworking Female Lead, Mother-Daughter Relationship, Life Lesson, Becoming Young, Hidden Identity, Character Development, Teenage Pregnancy","Kim Ha Neul, Yoon Sang Hyun, Lee Do Hyun, Roh Jeong Eui, Ryeo Un, Wi Ha Joon","Ahn Eun-bin, Choi Yi-ryool, Kim Do-yeon",Ha Byung-hoon,16,2020,_
1st Republic (TV series),The First Republic,"The show covers events from 1945 to 1960, including the 1945 liberation of Korea from the Japanese Empire, the 1950 Korean War, and the 1960 establishment of the Second Republic of Korea.",MBC TV,_,"Period drama, Docudrama, Biopic",_,_,"2 April 1981 –
11 February 1982",_,_,_,_,39,"1981, 1982",_
2 Days &amp; 1 Night Season 3,"1 Night 2 Days, 1Bak 2 Il, 1N2D, 2 Days & 1 Night : Season 3, 2 Days & 1 Night: Season 3, 2 Days 1 Night, 2D1N","The cast members take various trips throughout South Korea, including many offshore islands, recommending various places that viewers can visit. While doing so, members also perform missions at a certain mealtime or point of the day to earn rewards (eg. foods that are famous in the region they visit) and to avoid punishments (eg. going into the water).      Edit Translation         English     한국어     magyar / magyar nyelv     dansk",KBS2,South Korea,"Adventure, Comedy",8.7,1056,01/12/2013,"Travel Show, Outdoor Variety Show, Reality Show, Game Show, Trouble Maker (Group), Fly To The Sky, Davichi, DIA, Nature, Soran","Kim Jong Min, Cha Tae Hyun, Kim Jun Ho, Defconn, Yoon Shi Yoon, Lee Yong Jin",_,_,_,_,_
2 Days &amp; 1 Night Season 4,"1 Night 2 Days, 1Bak 2 Il, 1N2D, 2 Days & 1 Night: Season 4, 2 Days 1 Night, 2D1N, Two Days and One Night","The cast members take various trips throughout South Korea, including many offshore islands, recommending various places that viewers can visit. While doing so, members also perform missions at a certain mealtime or point of the day to earn rewards (eg. foods that are famous in the region they visit) and to avoid punishments (eg. going into the water).

(Source: MyDramaList)      Edit Translation         English     한국어     中文(简体)     Italiano",KBS2,South Korea,"Food, Adventure, Comedy",8.8,1460,08/12/2019,"Reality Show, Variety Show, Travel Show, Game Show, Outdoor Variety Show, UNIS (Group), ILLIT, EL7Z UP, NewJeans, Cignature (Group)","Kim Jong Min, DinDin, Moon Se Yoon, Yoo Sun Ho, Lee Joon, Jo Se Ho",_,_,_,_,_
