Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Poster,Description
Love in the Big City (TV series),N/A,N/A,"Hur Jin-ho
Hong Ji-young [ko]
Son Tae-gyum
Kim Se-in","Nam Yoon-su
Lee Soo-kyung
Oh Hyun-kyung
Kwon Hyuk
Na Hyun-woo
Jin Ho-eun
Kim Won-joong","Melodrama
Coming-of-age
Slice of life",TVING,8 (list of episodes),"October 21, 2024",N/A,"Go Young, a gay man, and Choi Mi-ae, a straight woman, live together and become each other's best friend. Young then sets out on a 10-year journey of self-discovery. He faces difficulties in his relationship with his mother, who denies his sexual orientation, and is compelled by social pressure to break up with his lover Sim Gyu-ho. While recuperating from his breakup, Young travels back to Thailand with a stranger named Habibi and discovers more about himself.[1]"
Salamander Guru and The Shadows,"Salamander Guru and the Shadow Operation Team
Salamander Guru and the Gang",N/A,Park Seung-min,"Choi Min-ho
Ryu Hyun-kyung
Im Won-hee
Lee Byung-joon
Oh Dal-su","Comedy, Drama",Seoul Broadcasting System,10,"January 27 –
March 30, 2012",N/A,"Min-hyuk (Choi Minho), anantisocialgeniushacker, has played with computers as if they were toys since he was a little boy. He grows up learning hacking skills from his father, aterminally illcomputer genius who runs an illegal gambling den to provide for his family's future. After his dad dies, Min-hyuk is adopted abroad. He immerses himself in computers and developssocial phobia. When he turns 20, he returns to Korea and begins searching for X, who drove his father to his death. Following clues from his memories, he finds the Salamander Guru fortune-telling house and meets Seon-dal and Won-sam. To find the Salamander Guru who knows X's secrets, Min-hyuk has no choice but to help the fake gurus. With his brains and excellent hacking skills, Min-hyuk controls Seon-dal behind a mirror and finds codes his dad left by recalling his childhood memories one by one. Min-hyuk, who keeps his social phobia a secret, gradually opens himself up while living with Seon-dal and Won-sam."
"Love, My Love",Dear Love,"Jung Hyun-min
Son Ji-hye",Lee Duk-gun,"Hwang Sun-hee
Song Min-jung
Oh Chang-seok
Kim San-ho","Drama, Romance, Family",KBS2,175,"7 May 2012 –
4 January 2013",N/A,"Love, My Love (Korean: 사랑아 사랑아; RR: Saranga saranga) is a 2012 South Korean television series starring Hwang Sun-hee, Song Min-jung, Oh Chang-seok and Kim San-ho. The morning soap opera aired on KBS2 on May 7, 2012 to January 4, 2013 from Mondays to Fridays at 09:00 for 175 episodes. It is a part of the television program KBS TV Novel.[1]"
Invincible Lee Pyung Kang,Taming of the Heir,Park Kye-ok,Lee Jung-seob,"Nam Sang-mi
Ji Hyun-woo
Seo Do-young
Cha Ye-ryun",Romantic comedy,Korean Broadcasting System,16,"9 November –
29 December 2009",N/A,"Lee Pyung-kang moved toGangwon Province, far away fromSeoulas a teen due to her father's occupation. Thanks to him, a renownedgolf coursedesigner, Pyung-kang was able to fully understand every detail of golf course planning while growing up. Her father, however, met with an untimely death before completing his ambitious work. Frustrated, Pyung-kang tried to support the family, but the harsh reality did not allow her and the rest of the family to live a comfortable life."
Creating Destiny,"Seeking Love
Making Fate",Hyun Go-woon,"Jang Geun-soo
Lee Sung-joon","Eugene
Ki Tae-young","Romance
Comedy",Munhwa Broadcasting Corporation,31,"October 10, 2009 –
January 24, 2010",N/A,"Han Sang-eun immigrated toAustraliawith her family at a young age. After graduating from law school, she announces her plans to marry her American boyfriend Alex, a fellow attorney. But her father is strongly opposed to the match, because he has his heart set on her marrying Kim Yeo-joon, the son of his best friend who lives back in Korea. He orders her to meet the bachelor that they picked out for her before she goes ahead and marries Alex. Sang-eun finds herself exiled to Korea, where she reluctantly teams up with Yeo-joon, who is focused on his career and equally uninterested in marriage, to devise a plan that will allow them to avoid their impending wedlock.[6]"
Mercy for None,N/A,Yoo Ki-seong,Choi Sung-eun,"So Ji-sub
Huh Joon-ho
Ahn Gil-kang
Lee Beom-soo
Gong Myung
Choo Young-woo
Jo Han-chul","Action
Noir
Revenge drama",Netflix,7,"June 6, 2025",N/A,"Nam Gi-jun, a former criminal gang enforcer, leaves his brother and criminal past behind after an incident. Eleven years later, his younger brother, Nam Gi-seok, is brutally murdered, forcing Gi-jun back into the world of crime to uncover the truth and seek brutal revenge on those responsible."
Road No. 1,Road Number One,Han Ji-hoon,"Lee Jang-soo
Kim Jin-min","So Ji-sub
Kim Ha-neul
Yoon Kye-sang","Romance
Drama
Action
War",MBC TV,20,"July 23 –
August 26, 2010",N/A,"Lee Jang-woo (So Ji-sub) would do anything for his childhood sweetheart Soo-yeon (Kim Ha-neul). When Soo-yeon's family falls on hard times, he joins the army in order to earn money to pay for her tuition. While Jang-woo is on his tour of duty,  Soo-yeon studies hard and spends her time helping injured soldiers as a doctor. She patiently awaits Jang-woo's return, but one day receives word that he has died in combat. Fate brings another man into her life: Shin Tae-ho, a handsome and generous officer who graduated from the army academy at the top of his class. Though she can't forget Jang-woo, Soo-yeon finally decides to leave the past behind her and marry Tae-ho. On the eve of their wedding, Jang-woo suddenly appears again, revealing that the death notice had been a mistake. He had, in fact, been counting the days until he can return home and reunite with his lover. The next morning - June 25, 1950 - the North Korean army invades South Korea, marking the start of theKorean War. With their lives and love already in turmoil, both Jang-woo and Tae-ho are sent north to the battlefield.[6][7]"
Mother and Mom,N/A,"Sung Yoon-ah
Jo Won-dong",Kim Chul-gyu,"Jeon Hye-jin
Jo Min-su
Jung Jin-young
Jeon Seok-ho",Family drama[1],"ENA
Genie TV",8,"March 3 –
March 25, 2025",N/A,"The drama depicts the 'worrying'Daechi-donglife of three generations of women , centered on a passionate working mom Jung Eun who entrusts her daughter's '7-year examination' riding to her mom Jia, as they prepare for the entrance test to enter a famous English academy. The drama vividly highlights the early childhood private education scene, drawing attention.[4]"
The Last Match,N/A,N/A,N/A,"Jang Dong-gun
Son Ji-chang
Shim Eun-ha
Lee Sang-ah","Drama
Sports",MBC TV,16,"January 3 –
February 22, 1994",N/A,"The Last Match (Korean: 마지막 승부; RR: Majimak seungbu) is a 1994 South Korean television series starring Jang Dong-gun, Son Ji-chang, Shim Eun-ha, and Lee Sang-ah. It aired on MBC on Mondays and Tuesdays at 21:50 for 16 episodes beginning January 3, 1994.[1]"
True to Love,N/A,Ah Kyung[2],"Lee Tae-gon[2]
Seo Min-jeong[2]","Yoo In-na
Yoon Hyun-min
Joo Sang-wook
Hwang Chan-sung
Park So-jin",Romantic comedy[1],ENA,14,"April 12 –
May 25, 2023",N/A,"Yeon Bo-ra is a successful love coach and influencer, whose pen name is Deborah. When her own love life is about to come full circle with an anticipated wedding proposal from her CEO boyfriend, she crosses paths with Lee Soo-hyuk, a publishing planner with a lacklustre love life. The two of them get off on the wrong foot, but become entangled when Soo-hyuk's publishing company wants to sign a deal for her next book, and Bo-ra discovers that her boyfriend is cheating on her."
